timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2039604000,32767,32767,32767,32767,32767,32767,32767
2039608000,32767,32767,32767,32767,32767,32767,32767
2039612000,32767,32767,32767,32767,32767,32767,32767
2039616000,32767,32767,32767,32767,32767,32767,32767
2039620000,32767,32767,32767,32767,32767,32767,32767
2039624000,32767,32767,32767,32767,32767,32767,32767
2039628000,32767,32767,32767,32767,32767,32767,32767
2039632000,32767,32767,32767,32767,0,32767,32767
2039636000,32767,32767,32767,32767,32767,32767,32767
2039640000,32767,32767,32767,32767,32767,32767,32767
2039644000,32767,32767,32767,32767,32767,32767,32767
2039648000,32767,32767,32767,32767,32767,32767,32767
2039652000,32767,32767,32767,32767,32767,32767,32767
2039656000,32767,32767,32767,32767,32767,32767,32767
2039660000,32767,32767,32767,32767,32767,32767,32767
2039664000,32767,32767,32767,32767,32767,32767,32767
2039668000,32767,32767,32767,32767,32767,32767,32767
2039672000,32767,32767,32767,32767,32767,32767,32767
2039676000,32767,32767,32767,32767,32767,0,32767
2039680000,32767,32767,32767,32767,32767,32767,32767
2039684000,32767,32767,32767,32767,32767,32767,32767
2039688000,32767,32767,32767,32767,32767,32767,32767
2039692000,32767,32767,32767,32767,32767,32767,32767
2039696000,32767,32767,32767,32767,32767,32767,32767
2039700000,32767,32767,32767,32767,32767,32767,32767
2039704000,32767,32767,32767,32767,32767,32767,32767
2039708000,32767,32767,32767,32767,-40,32767,32767
2039712000,32767,32767,32767,32767,32767,32767,32767
2039716000,32767,32767,32767,32767,32767,32767,32767
2039720000,32767,32767,32767,32767,32767,32767,32767
2039724000,32767,32767,32767,32767,32767,32767,32767
2039728000,32767,32767,32767,32767,32767,32767,32767
2039732000,32767,32767,32767,32767,32767,-40,32767
2039736000,32767,32767,32767,32767,32767,32767,32767
2039740000,32767,32767,32767,32767,32767,32767,32767
2039744000,32767,32767,32767,32767,32767,32767,32767
2039748000,32767,32767,32767,32767,32767,32767,32767
2039752000,32767,32767,32767,32767,32767,32767,32767
2039756000,32767,32767,32767,32767,32767,32767,32767
2039760000,32767,32767,32767,32767,32767,32767,32767
2039764000,32767,32767,32767,32767,32767,32767,32767
2039768000,32767,32767,32767,32767,32767,32767,32767
2039772000,32767,32767,32767,32767,32767,32767,32767
2039776000,32767,32767,32767,32767,0,32767,32767
2039780000,32767,32767,32767,32767,32767,32767,32767
2039784000,32767,32767,32767,32767,32767,32767,32767
2039788000,32767,32767,32767,32767,32767,32767,32767
2039792000,32767,32767,32767,32767,32767,32767,32767
2039796000,32767,32767,32767,32767,32767,32767,32767
2039800000,32767,32767,32767,32767,32767,32767,32767
2039804000,32767,32767,32767,32767,32767,32767,32767
2039808000,32767,32767,32767,32767,32767,32767,32767
2039812000,32767,32767,32767,32767,32767,32767,32767
2039816000,32767,32767,32767,32767,32767,32767,32767
2039820000,32767,32767,32767,32767,32767,32767,32767
2039824000,32767,32767,32767,32767,32767,32767,32767
2039828000,32767,32767,32767,32767,32767,-40,32767
2039832000,32767,32767,32767,32767,32767,32767,32767
2039836000,32767,32767,32767,32767,32767,32767,32767
2039840000,32767,32767,32767,32767,32767,32767,32767
2039844000,32767,32767,32767,32767,32767,32767,32767
2039848000,32767,32767,32767,32767,0,32767,32767
2039852000,32767,32767,32767,32767,32767,32767,32767
2039856000,32767,32767,32767,32767,32767,32767,32767
2039860000,32767,32767,32767,32767,32767,32767,32767
2039864000,32767,32767,32767,32767,32767,32767,32767
2039868000,32767,32767,32767,32767,32767,32767,32767
2039872000,32767,32767,32767,32767,32767,32767,32767
2039876000,32767,32767,32767,32767,32767,-40,32767
2039880000,32767,32767,32767,32767,32767,32767,32767
2039884000,32767,32767,32767,32767,32767,32767,32767
2039888000,32767,32767,32767,32767,32767,32767,32767
2039892000,32767,32767,32767,32767,32767,32767,32767
2039896000,32767,32767,32767,32767,32767,32767,32767
2039900000,32767,32767,32767,32767,32767,32767,32767
2039904000,32767,32767,32767,32767,32767,32767,32767
2039908000,32767,32767,32767,32767,32767,32767,32767
2039912000,32767,32767,32767,32767,32767,32767,32767
2039916000,32767,32767,32767,32767,32767,32767,32767
