timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2033520000,2033520000,0.7030875,0.73234206,0.6960164,0.7228567,nan,nan,nan,nan,nan,nan,nan,nan,0
2033620000,2033620000,0.7039933,0.73435867,0.6960309,0.7226272,nan,nan,nan,nan,nan,nan,nan,nan,0
2033716000,2033716000,0.7080282,0.7331098,0.7002331,0.71693295,nan,nan,nan,nan,nan,nan,nan,nan,0
2033820000,2033820000,0.7100003,0.7338453,0.6972927,0.7182208,nan,nan,nan,nan,nan,nan,nan,nan,0
2033920000,2033920000,0.7102426,0.73450196,0.69609064,0.71692973,nan,nan,nan,nan,nan,nan,nan,nan,0
2034020000,2034020000,0.7090516,0.7373858,0.69434124,0.71854913,nan,nan,nan,nan,nan,nan,nan,nan,0
2034120000,2034120000,0.71293604,0.73507684,0.6945223,0.7146926,nan,nan,nan,nan,nan,nan,nan,nan,0
2034220000,2034220000,0.7116538,0.72965413,0.6984208,0.7192733,nan,nan,nan,nan,nan,nan,nan,nan,0
2034320000,2034320000,0.7016945,0.72572565,0.7012265,0.7272196,nan,nan,nan,nan,nan,nan,nan,nan,0
2034420000,2034420000,0.6962781,0.72242045,0.70727766,0.7289833,nan,nan,nan,nan,nan,nan,nan,nan,0
2034520000,2034520000,0.69778806,0.7188884,0.70453864,0.735641,nan,nan,nan,nan,nan,nan,nan,nan,0
2034620000,2034620000,0.69671774,0.723654,0.70807505,0.73026496,nan,nan,nan,nan,nan,nan,nan,nan,0
2034720000,2034720000,0.7017242,0.7240513,0.7089974,0.72338164,nan,nan,nan,nan,nan,nan,nan,nan,0
2034820000,2034820000,0.7050355,0.7244989,0.7039108,0.72528315,nan,nan,nan,nan,nan,nan,nan,nan,0
2034920000,2034920000,0.703404,0.7258492,0.70222294,0.72077155,nan,nan,nan,nan,nan,nan,nan,nan,0
2035020000,2035020000,0.70028794,0.73282164,0.70200145,0.723841,nan,nan,nan,nan,nan,nan,nan,nan,0
2035120000,2035120000,0.70113015,0.7305493,0.70184803,0.72500473,nan,nan,nan,nan,nan,nan,nan,nan,0
2035220000,2035220000,0.6984859,0.72795236,0.7039101,0.72316056,nan,nan,nan,nan,nan,nan,nan,nan,0
2035320000,2035320000,0.70047814,0.72349185,0.7020018,0.7225764,nan,nan,nan,nan,nan,nan,nan,nan,0
2035420000,2035420000,0.6959539,0.7287124,0.7026962,0.7261629,nan,nan,nan,nan,nan,nan,nan,nan,0
2035520000,2035520000,0.69860256,0.72730976,0.7014855,0.72843045,nan,nan,nan,nan,nan,nan,nan,nan,0
2035616000,2035616000,0.7032862,0.7203553,0.70395344,0.72044855,nan,nan,nan,nan,nan,nan,nan,nan,0
2035720000,2035720000,0.7070943,0.7231364,0.70501834,0.72145015,nan,nan,nan,nan,nan,nan,nan,nan,0
2035820000,2035820000,0.70537883,0.72501475,0.69827354,0.7273619,nan,nan,nan,nan,nan,nan,nan,nan,0
2035920000,2035920000,0.69782215,0.73178446,0.6959484,0.7286203,nan,nan,nan,nan,nan,nan,nan,nan,0
2036020000,2036020000,0.69919384,0.7273312,0.69987,0.7245404,nan,nan,nan,nan,nan,nan,nan,nan,0
2036120000,2036120000,0.69954485,0.7278648,0.70388687,0.72479284,nan,nan,nan,nan,nan,nan,nan,nan,0
2036220000,2036220000,0.7010718,0.72432405,0.70501864,0.7250402,nan,nan,nan,nan,nan,nan,nan,nan,0
2036320000,2036320000,0.69701463,0.72828144,0.70409936,0.7252765,nan,nan,nan,nan,nan,nan,nan,nan,0
2036416000,2036416000,0.7026821,0.7223528,0.7031538,0.7208161,nan,nan,nan,nan,nan,nan,nan,nan,0
2036520000,2036520000,0.7044639,0.72278446,0.70167196,0.72544193,nan,nan,nan,nan,nan,nan,nan,nan,0
2036620000,2036620000,0.7032866,0.72336936,0.70045936,0.7272143,nan,nan,nan,nan,nan,nan,nan,nan,0
2036720000,2036720000,0.70207137,0.7251274,0.7004288,0.7259112,nan,nan,nan,nan,nan,nan,nan,nan,0
2036820000,2036820000,0.7012016,0.72685724,0.6997687,0.72520405,nan,nan,nan,nan,nan,nan,nan,nan,0
2036920000,2036920000,0.69675404,0.7281147,0.69458497,0.73189706,nan,nan,nan,nan,nan,nan,nan,nan,0
2037020000,2037020000,0.7000373,0.7276992,0.69944155,0.72668827,nan,nan,nan,nan,nan,nan,nan,nan,0
2037120000,2037120000,0.7046615,0.7227814,0.7001511,0.72522426,nan,nan,nan,nan,nan,nan,nan,nan,0
