timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
658220000,-0.020772645,0.003994794,-0.00026639283,4000,0,0.05746084,0.009576979,-9.830592,4000,0,0,0,1
658228000,-0.0103863245,-0.003994745,0.00053267094,4000,0,0.02873042,-0.008379535,-9.813835,4000,0,0,0,1
658232000,-0.011451583,-0.013315831,-0.0061252406,4000,0,0.039504327,-0.023941848,-9.862916,4000,0,0,0,1
658236000,-0.011185234,-0.004527398,-0.01198426,4000,0,0.041898534,-0.062249076,-9.888056,4000,0,0,0,1
658244000,-0.0013316112,-0.002130551,-0.017843174,4000,0,0.035913024,0.10414796,-9.777922,4000,0,0,0,1
658248000,-0.008788429,-0.0018641697,-0.021038981,4000,0,0.009576809,0.15442617,-9.788694,4000,0,0,0,1
658252000,-0.010119989,0.0026632028,-0.010120027,4000,0,0.089782566,0.108936355,-9.828198,4000,0,0,0,1
658256000,-0.0015979,-0.0021305084,0.0045273826,4000,0,0.10534488,0.043095805,-9.764753,4000,0,0,0,1
658264000,0.00506002,-0.0058589503,-0.0034620995,4000,0,-0.013168109,0.02035089,-9.888055,4000,0,0,0,1
658268000,0.0114516,-0.0050600097,-0.005592625,4000,0,-0.04548984,-0.013167939,-9.829395,4000,0,0,0,1
658272000,0.006391587,-0.005059998,-0.0053263316,4000,0,-0.04908113,-0.013167939,-9.835382,4000,0,0,0,1
658276000,-0.010652642,0.0010652868,-0.0015979126,4000,0,-0.0047884034,-0.01795634,-9.8677025,4000,0,0,0,1
658284000,-0.0031957978,-1.4507745e-08,-0.004527372,4000,0,0.016759414,0.004788576,-9.797075,4000,0,0,0,1
658288000,0.0053263213,-0.001331586,0.0023968464,4000,0,-0.064643465,-0.023941848,-9.759963,4000,0,0,0,1
658292000,0.0018642233,-0.009321051,-0.006391603,4000,0,-0.07661447,0.009576978,-9.797075,4000,0,0,0,1
658296000,-0.0047937487,-0.023169493,0.0029294482,4000,0,0.029927524,0.033519,-9.783907,4000,0,0,0,1
658300000,-0.009587506,-0.023702115,0.019174727,4000,0,0.100556485,-0.016759243,-9.791088,4000,0,0,0,1
658304000,-0.0050601605,-0.0021304938,0.02130526,4000,0,0.041898537,-0.0909795,-9.855732,4000,0,0,0,1
658308000,-0.00133167,0.011984227,0.0058589345,4000,0,-0.023942016,-0.06823458,-9.880873,4000,0,0,0,1
658312000,-0.008522157,0.0047936705,-0.0074568195,4000,0,-0.040701427,-0.023941847,-9.830592,4000,0,0,0,1
658316000,-0.016245304,-0.007190496,-0.0002662699,4000,0,-0.037110135,-0.041898366,-9.78989,4000,0,0,0,1
658320000,-0.016777925,-0.012516835,0.0042610858,4000,0,0.047884036,-0.07661429,-9.816229,4000,0,0,0,1
