timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
55096000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
55600000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
56104000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
56608000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
57112000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
57616000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
58120000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
58624000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
59128000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
59632000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
60136000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
60640000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
61144000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
61648000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
62152000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
62656000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
63160000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
63664000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
64168000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
64672000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
65176000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
65680000,0,0,1132000,2147411071,8307839,0,1,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
